"CVM - LATAM - Mexico - Internal Servers - Patch Report","05/01/2017 at 06:32:56 (GMT)"
"Zurich Financial Services","4750 Wilshire Blvd.","Annex 2","Los Angeles","California","United States of America","90010"
"Benjamin Cheong","zurch_bc4","Manager"

Report Summary
Title, Asset Groups, IPs, Asset Tags, Group By, Created on, Includes hosts scanned since, Network 
"CVM - LATAM - Mexico - Internal Servers - Patch Report","CVM - LATAM - Mexico - Internal Servers",,,"Host","05/01/2017","04/01/2017","Global Default Network"

Patch Summary
Total Patches, Hosts Requiring Patches, Total Vulnerabilities Addressed
"5346","429","7192"

Host List
IP, DNS, NetBIOS, OS, OS CPE, Patch Count, Network
"10.110.10.127",,,"Red Hat Enterprise Linux Server 5.7","cpe:/o:redhat:enterprise_linux:5.7::server:","114","Global Default Network"
"10.241.12.131",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","107","Global Default Network"
"10.110.10.187",,,"CentOS 5.7","cpe:/o:centos:centos:5.7:::","94","Global Default Network"
"10.110.10.188",,,"CentOS 5.7","cpe:/o:centos:centos:5.7:::","94","Global Default Network"
"10.110.10.122",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","88","Global Default Network"
"10.110.10.38","zurichpbx.zurich.mx",,"CentOS 5.7","cpe:/o:centos:centos:5.7:::","83","Global Default Network"
"10.110.6.119",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","70","Global Default Network"
"10.110.10.65","mxzvlunlt5p101.zurich.mx",,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","67","Global Default Network"
"10.110.10.173",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","63","Global Default Network"
"10.110.10.75","mxzclbpmpcp101.zurich.mx",,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","61","Global Default Network"
"10.110.10.76","mxzclbpmpsp101.zurich.mx",,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","61","Global Default Network"
"10.110.6.33","mxzclbpmpsd101.zurich.mx",,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","58","Global Default Network"
"10.110.10.73",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","50","Global Default Network"
"10.110.10.166",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","49","Global Default Network"
"10.110.8.73",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","48","Global Default Network"
"10.110.10.119",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","47","Global Default Network"
"10.110.8.119",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","47","Global Default Network"
"10.110.10.59",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","42","Global Default Network"
"10.110.10.165",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","42","Global Default Network"
"10.110.10.195",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","40","Global Default Network"
"10.110.8.11",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","40","Global Default Network"
"10.110.6.17","mxzdljavawd101.zurich.mx",,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","39","Global Default Network"
"10.110.10.150","mxzcwpruzur01.zurich.mx",,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","39","Global Default Network"
"10.110.10.146",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","38","Global Default Network"
"10.110.10.168","mxzclmonasp102.zurich.mx",,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","38","Global Default Network"
"10.110.10.142",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","36","Global Default Network"
"10.110.6.124","mxzvlwflasd101.zurich.mx",,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","36","Global Default Network"
"10.110.10.25",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","35","Global Default Network"
"10.110.7.124","mxzvlwflass101.zurich.mx",,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","35","Global Default Network"
"10.110.6.125",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","34","Global Default Network"
"10.110.6.163",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","34","Global Default Network"
"10.110.7.163",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","34","Global Default Network"
"10.110.10.104",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","33","Global Default Network"
"10.110.8.166",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","32","Global Default Network"
"10.110.10.192",,,"Red Hat Enterprise Linux Server 5.11","cpe:/o:redhat:enterprise_linux:5.11::server:","32","Global Default Network"
"10.110.10.191",,,"Red Hat Enterprise Linux Server 5.11","cpe:/o:redhat:enterprise_linux:5.11::server:","32","Global Default Network"
"10.110.10.60",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","31","Global Default Network"
"10.110.6.38",,,"Red Hat Enterprise Linux Server 6.7","cpe:/o:redhat:enterprise_linux:6.7::server:","31","Global Default Network"
"10.110.8.12",,,"Red Hat Enterprise Linux Server 6.4","cpe:/o:redhat:enterprise_linux:6.4::server:","29","Global Default Network"
"10.110.8.199",,,"Red Hat Enterprise Linux Server 6.6","cpe:/o:redhat:enterprise_linux:6.6::server:","29","Global Default Network"
"10.241.16.37","win-ebkqdg90u6j.zurich.mx","WIN-EBKQDG90U6J","Windows Server 2008 R2 Standard 64 bit Edition Service Pack 1","cpe:/o:microsoft:windows_server_2008:r2:sp1:standard_x64:","29","Global Default Network"
"10.110.6.188",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","28","Global Default Network"
"10.110.10.114",,,"Red Hat Enterprise Linux Server 6.7","cpe:/o:redhat:enterprise_linux:6.7::server:","27","Global Default Network"
"10.110.6.150",,,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","27","Global Default Network"
"10.110.6.57","mxzvladiawd101.zurich.mx",,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","27","Global Default Network"
"10.110.7.57","mxzvladiaws101.zurich.mx",,"Red Hat Enterprise Linux Server 6.5","cpe:/o:redhat:enterprise_linux:6.5::server:","27","Global Default Network"
"10.110.6.113",,,"Red Hat Enterprise Linux Server 6.7","cpe:/o:redhat:enterprise_linux:6.7::server:","27","Global Default Network"
